event_id,date,tournament,opponent,venue,gf,ga,player_id,sofa_player_id,name,pos,started,played,minutes,rating,has_detailed_stats,aerials_lost,aerials_won,assists,clearances,crosses,crosses_accurate,dispossessed,dribbles_attempted,dribbles_won,duels_lost,duels_won,fouled,fouls,goals,high_claims,interceptions,key_passes,long_balls,long_balls_accurate,passes,passes_accurate,punches,recoveries,saves,saves_inside_box,shots,shots_on_target,tackles,tackles_won,touches
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,abdoul-tapsoba,1000129,Abdoul Tapsoba,FW,1,1,71,6.4,1,0,0,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0,1,1,5,4,0,1,0,0,1,0,0,0,14
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,aboubacar-sawadogo,866124,Aboubacar Sawadogo,GK,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,adama-guira,139357,Adama Guira,MF,1,1,90,7.4,1,0,0,0,0,0,0,0,1,1,4,10,0,1,0,0,1,0,2,0,36,32,0,8,0,0,1,1,9,5,52
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,bertrand-traore,218160,Bertrand Traoré,FW,1,1,86,6.5,1,0,0,1,2,5,1,2,8,4,10,6,2,3,0,0,0,1,2,1,19,17,0,3,0,0,4,2,0,0,50
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,blati-toure,806244,Blati Touré,MF,1,1,90,6.6,1,0,1,0,0,1,0,3,0,0,7,6,3,2,0,0,3,1,4,3,44,36,0,9,0,0,1,0,2,2,61
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,cyrille-bayala,785876,Cyrille Bayala,FW,1,1,71,6.4,1,3,0,0,0,0,0,0,2,1,6,3,0,0,0,0,1,0,1,0,12,9,0,3,0,0,0,0,2,1,20
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,djibril-ouattara,971036,Djibril Ouattara,FW,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,dramane-nikiema,933047,Dramane Nikièma,MF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,eric-traore,785871,Eric Traoré,FW,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,farid-ouedraogo,1006190,Farid Ouédraogo,GK,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
